location,bhk,total_sqft,bath,price_lakh,house_type,building_status,city,price_per_sqft
Electronics City Phase 1,2 BHK,1070.0,2.0,45.5,Apartment,,Bengaluru,
Kundalahalli,3 BHK,1724.0,3.0,125.0,Apartment,,Bengaluru,
Chikkalasandra,3 BHK,1290.0,2.0,56.12,Apartment,,Bengaluru,
Uttarahalli,2 BHK,1143.0,2.0,45.0,Apartment,,Bengaluru,
Murugeshpalya,2 BHK,1296.0,2.0,81.0,Apartment,,Bengaluru,
Sarjapur  Road,3 BHK,1254.0,3.0,38.0,Apartment,,Bengaluru,
Ganga Nagar,1 BHK,600.0,1.0,38.0,Apartment,,Bengaluru,
Yelahanka,1 Bedroom,660.0,1.0,48.0,Apartment,,Bengaluru,
Kanakpura Road,2 BHK,1330.74,2.0,91.79,Apartment,,Bengaluru,
HSR Layout,8 Bedroom,600.0,9.0,200.0,Apartment,,Bengaluru,
Doddathoguru,2 BHK,970.0,2.0,33.0,Apartment,,Bengaluru,
Whitefield,2 BHK,1459.0,2.0,94.82,Apartment,,Bengaluru,
KR Puram,2 Bedroom,800.0,1.0,130.0,Apartment,,Bengaluru,
Himagiri Meadows,2 BHK,869.0,2.0,36.0,Apartment,,Bengaluru,
Adarsh Nagar,2 BHK,1270.0,2.0,50.0,Apartment,,Bengaluru,
Bhoganhalli,3 BHK,1670.0,3.0,99.0,Apartment,,Bengaluru,
Whitefield,3 BHK,2010.0,3.0,91.0,Apartment,,Bengaluru,
Lakshminarayana Pura,2 BHK,1185.0,2.0,75.0,Apartment,,Bengaluru,
Yelahanka,3 BHK,1600.0,2.0,75.0,Apartment,,Bengaluru,
Begur Road,2 BHK,1200.0,2.0,44.0,Apartment,,Bengaluru,
Devanahalli,4 Bedroom,30103410.0,,192.0,Apartment,,Bengaluru,
Ramakrishnappa Layout,2 BHK,1500.0,2.0,185.0,Apartment,,Bengaluru,
Murugeshpalya,6 Bedroom,1407.0,4.0,150.0,Apartment,,Bengaluru,
Govindaraja Nagar Ward,2 BHK,840.0,2.0,45.0,Apartment,,Bengaluru,
Tharabanahalli,3 Bedroom,4395.0,3.0,240.0,Apartment,,Bengaluru,
Ganga Nagar,2 BHK,845.0,2.0,55.0,Apartment,,Bengaluru,
Whitefield,4 Bedroom,5700.0,5.0,650.0,Apartment,,Bengaluru,
Varthur,2 BHK,1160.0,2.0,44.0,Apartment,,Bengaluru,
Bommanahalli,8 Bedroom,3000.0,8.0,140.0,Apartment,,Bengaluru,
Doddathoguru,2 BHK,1100.0,2.0,62.0,Apartment,,Bengaluru,
Gunjur,2 BHK,1140.0,2.0,43.0,Apartment,,Bengaluru,
Marathahalli,2 BHK,1220.0,2.0,57.0,Apartment,,Bengaluru,
Devarachikkanahalli,8 Bedroom,1350.0,7.0,85.0,Apartment,,Bengaluru,
Kanakpura Road,2 BHK,1005.0,2.0,36.68,Apartment,,Bengaluru,
Double Road,3 Bedroom,500.0,3.0,100.0,Apartment,,Bengaluru,
Begur Road,2 BHK,1358.0,2.0,80.58,Apartment,,Bengaluru,
Hegde Nagar,3 BHK,1569.0,3.0,101.0,Apartment,,Bengaluru,
Haralur Road,2 BHK,1240.0,2.0,70.0,Apartment,,Bengaluru,
Hennur Road,3 BHK,2089.0,3.0,140.0,Apartment,,Bengaluru,
Kothannur,2 BHK,1206.0,2.0,48.23,Apartment,,Bengaluru,
Kalena Agrahara,2 BHK,1150.0,2.0,40.0,Apartment,,Bengaluru,
Cholanayakanahalli,3 BHK,2511.0,3.0,205.0,Apartment,,Bengaluru,
Kaval Byrasandra,2 BHK,460.0,1.0,22.0,Apartment,,Bengaluru,
ISRO Layout,6 Bedroom,4400.0,6.0,250.0,Apartment,,Bengaluru,
Kodanda Reddy Layout,3 BHK,1660.0,2.0,105.0,Apartment,,Bengaluru,
Hennur Road,4 Bedroom,29573450.0,,224.5,Apartment,,Bengaluru,
Yelahanka,2 BHK,1326.0,2.0,78.0,Apartment,,Bengaluru,
Garudachar Palya,3 BHK,1325.0,2.0,60.8,Apartment,,Bengaluru,
EPIP Zone,3 BHK,1499.0,5.0,102.0,Apartment,,Bengaluru,
Hegde Nagar,6 Bedroom,3000.0,7.0,210.0,Apartment,,Bengaluru,
Kanakpura Road,3 BHK,1665.0,3.0,88.0,Apartment,,Bengaluru,
Dasanapura,2 BHK,708.0,2.0,37.0,Apartment,,Bengaluru,
Kasavanhalli,2 BHK,1060.0,2.0,58.06,Apartment,,Bengaluru,
Rajaji Nagar,6 Bedroom,710.0,6.0,160.0,Apartment,,Bengaluru,
Sanjay nagar,2 BHK,1000.0,2.0,70.0,Apartment,,Bengaluru,
Electronic City,2 BHK,1000.0,2.0,28.88,Apartment,,Bengaluru,
 Mysore Highway,3 BHK,1450.0,2.0,70.0,Apartment,,Bengaluru,
ISRO Layout,4 Bedroom,1200.0,4.0,155.0,Apartment,,Bengaluru,
Thanisandra,2 BHK,1296.0,2.0,80.0,Apartment,,Bengaluru,
Domlur,3 BHK,1540.0,3.0,90.0,Apartment,,Bengaluru,
Kengeri,4 Bedroom,2894.0,4.0,245.0,Apartment,,Bengaluru,
Sarjapura - Attibele Road,3 BHK,1330.0,2.0,48.0,Apartment,,Bengaluru,
Devasthanagalu,2 BHK,1200.0,2.0,65.0,Apartment,,Bengaluru,
T Dasarahalli,3 Bedroom,1200.0,3.0,90.0,Apartment,,Bengaluru,
Yeshwanthpur,3 BHK,2502.0,3.0,138.0,Apartment,,Bengaluru,
Chandapura,2 BHK,650.0,1.0,17.0,Apartment,,Bengaluru,
Kothanur,3 Bedroom,2400.0,2.0,150.0,Apartment,,Bengaluru,
Green View Layout,2 BHK,1007.0,2.0,43.0,Apartment,,Bengaluru,
Shantiniketan Layout,2 BHK,1200.0,2.0,50.0,Apartment,,Bengaluru,
Peenya,2 BHK,966.0,2.0,49.9,Apartment,,Bengaluru,
Nagarbhavi,3 BHK,1630.0,2.0,98.0,Apartment,,Bengaluru,
Rajaji Nagar,3 BHK,1640.0,3.0,229.0,Apartment,,Bengaluru,
Jalahalli West,2 BHK,782.0,2.0,55.68,Apartment,,Bengaluru,
Devanahalli,2 BHK,1260.0,2.0,66.78,Apartment,,Bengaluru,
Lakshmiamma Garden,3 BHK,1800.0,3.0,120.0,Apartment,,Bengaluru,
Byatarayanapura,3 BHK,1413.0,2.0,75.0,Apartment,,Bengaluru,
Whitefield,2 BHK,1116.0,2.0,51.91,Apartment,,Bengaluru,
Electronic City,3 BHK,1530.0,2.0,45.9,Apartment,,Bengaluru,
Ramamurthy Nagar,4 Bedroom,3700.0,4.0,225.0,Apartment,,Bengaluru,
Sarjapur  Road,3 Bedroom,2497.0,3.0,140.0,Apartment,,Bengaluru,
Kengeri,3 BHK,1540.0,2.0,64.0,Apartment,,Bengaluru,
Thanisandra,3 BHK,1436.0,3.0,74.75,Apartment,,Bengaluru,
Malleshwaram,2 BHK,1100.0,2.0,75.0,Apartment,,Bengaluru,
Hennur Road,2 Bedroom,276.0,3.0,23.0,Apartment,,Bengaluru,
Thanisandra,3 BHK,1427.0,3.0,120.0,Apartment,,Bengaluru,
Akshaya Nagar,3 BHK,2061.0,3.0,200.0,Apartment,,Bengaluru,
Hebbal,4 BHK,30678156.0,4.0,477.0,Apartment,,Bengaluru,
Shampura,4 BHK,2650.0,4.0,150.0,Apartment,,Bengaluru,
Devanahalli,3 BHK,1282.0,2.0,68.52,Apartment,,Bengaluru,
Kadugodi,2 BHK,1050.0,2.0,34.0,Apartment,,Bengaluru,
LB Shastri Nagar,3 BHK,1600.0,3.0,65.0,Apartment,,Bengaluru,
Vajarahalli,2 BHK,945.0,2.0,54.0,Apartment,,Bengaluru,
Hormavu,2 BHK,1500.0,2.0,78.0,Apartment,,Bengaluru,
Vishwapriya Layout,7 Bedroom,950.0,7.0,115.0,Apartment,,Bengaluru,
Peenya,3 BHK,1870.0,3.0,110.0,Apartment,,Bengaluru,
Sarjapur,3 Bedroom,1600.0,3.0,75.0,Apartment,,Bengaluru,
Electronic City,2 BHK,880.0,1.0,16.5,Apartment,,Bengaluru,
Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200.0,4.0,210.0,Apartment,,Bengaluru,
Kudlu Gate,3 BHK,1535.0,3.0,83.0,Apartment,,Bengaluru,
Kanakpura Road,2 BHK,950.0,2.0,57.0,Apartment,,Bengaluru,
Devanahalli,2 BHK,1360.0,2.0,65.0,Apartment,,Bengaluru,
8th Phase JP Nagar,2 BHK,10421105.0,2.0,54.005,Apartment,,Bengaluru,
Bommasandra Industrial Area,3 BHK,1280.0,3.0,50.4,Apartment,,Bengaluru,
Chandra Layout,3 BHK,1260.0,2.0,85.05,Apartment,,Bengaluru,
Hennur Road,8 Bedroom,5000.0,8.0,250.0,Apartment,,Bengaluru,
Yelahanka,5 BHK,3050.0,5.0,213.0,Apartment,,Bengaluru,
Kasavanhalli,3 BHK,1563.05,3.0,105.0,Apartment,,Bengaluru,
ISRO Layout,2 BHK,1000.0,2.0,60.0,Apartment,,Bengaluru,
Anandapura,2 BHK,1167.0,2.0,43.76,Apartment,,Bengaluru,
Vishveshwarya Layout,7 BHK,4000.0,7.0,225.0,Apartment,,Bengaluru,
Kothanur,3 BHK,1828.0,3.0,110.0,Apartment,,Bengaluru,
Kengeri Satellite Town,2 BHK,890.0,2.0,35.0,Apartment,,Bengaluru,
Basavanapura,3 BHK,1612.0,3.0,46.74,Apartment,,Bengaluru,
Dinnur,6 Bedroom,1034.0,5.0,185.0,Apartment,,Bengaluru,
Mysore Road,3 BHK,1710.0,4.0,91.31,Apartment,,Bengaluru,
Kannamangala,2 BHK,957.0,2.0,58.0,Apartment,,Bengaluru,
 Devarachikkanahalli,3 BHK,1250.0,2.0,44.0,Apartment,,Bengaluru,
Sanjeevini Nagar,3 BHK,2795.0,4.0,235.0,Apartment,,Bengaluru,
Hulimavu,2 BHK,1125.0,2.0,50.0,Apartment,,Bengaluru,
Electronic City Phase II,2 BHK,1020.0,2.0,30.6,Apartment,,Bengaluru,
Kalena Agrahara,2 BHK,1200.0,2.0,50.0,Apartment,,Bengaluru,
Thanisandra,3 BHK,1735.0,3.0,135.0,Apartment,,Bengaluru,
Thanisandra,3 BHK,2050.0,3.0,145.0,Apartment,,Bengaluru,
Mahalakshmi Layout,4 Bedroom,3750.0,4.0,760.0,Apartment,,Bengaluru,
Yarandahalli,3 BHK,1350.0,2.0,48.0,Apartment,,Bengaluru,
Hosa Road,2 BHK,1063.0,2.0,32.0,Apartment,,Bengaluru,
Keshava Nagar,3 BHK,1904.0,3.0,150.0,Apartment,,Bengaluru,
Whitefield,4 Bedroom,4200.0,4.0,420.0,Apartment,,Bengaluru,
RMV Extension,3 BHK,2000.0,3.0,175.0,Apartment,,Bengaluru,
Sarjapur,2 BHK,11451340.0,2.0,43.49,Apartment,,Bengaluru,
Tejaswini Nagar,3 BHK,1425.0,2.0,75.0,Apartment,,Bengaluru,
Electronic City,3 BHK,1500.0,2.0,64.5,Apartment,,Bengaluru,
Electronic City,2 BHK,1060.0,2.0,60.0,Apartment,,Bengaluru,
Jai Bheema Nagar,3 BHK,1470.0,2.0,70.0,Apartment,,Bengaluru,
Kothnur Narayanapura,6 BHK,1300.0,6.0,99.0,Apartment,,Bengaluru,
Attibele,1 BHK,450.0,1.0,11.0,Apartment,,Bengaluru,
Electronic City,2 BHK,1152.0,2.0,64.5,Apartment,,Bengaluru,
Electronic City,3 BHK,1350.0,2.0,56.0,Apartment,,Bengaluru,
CV Raman Nagar,3 BHK,1550.0,3.0,65.0,Apartment,,Bengaluru,
CHIKKATIRUPATHI,3 Bedroom,1500.0,3.0,100.0,Apartment,,Bengaluru,
Kumaraswami Layout,5 Bedroom,600.0,3.0,85.0,Apartment,,Bengaluru,
Nagavara,1 Bedroom,400.0,1.0,14.0,Apartment,,Bengaluru,
Malleshwaram,1 BHK,705.0,1.0,67.0,Apartment,,Bengaluru,
Electronic City,2 BHK,770.0,1.0,36.0,Apartment,,Bengaluru,
Hulimavu,2 BHK,1242.0,2.0,51.0,Apartment,,Bengaluru,
Hebbal Kempapura,3 BHK,1700.0,3.0,155.0,Apartment,,Bengaluru,
Thanisandra,3 BHK,2144.0,3.0,145.0,Apartment,,Bengaluru,
Vijayanagar,3 BHK,1704.0,3.0,110.0,Apartment,,Bengaluru,
Electronic City,2 BHK,1070.0,2.0,52.0,Apartment,,Bengaluru,
8th block Koramangala,3 Bedroom,1846.0,3.0,300.0,Apartment,,Bengaluru,
Jakkuru Layout,2 BHK,1340.0,2.0,55.7,Apartment,,Bengaluru,
Electronic City,2 BHK,1025.0,2.0,46.0,Apartment,,Bengaluru,
KR Puram,2 BHK,10151540.0,2.0,56.8,Apartment,,Bengaluru,
Marathahalli,2 BHK,1200.0,2.0,52.0,Apartment,,Bengaluru,
Kanakpura Road,4 Bedroom,2250.0,4.0,110.0,Apartment,,Bengaluru,
Pattandur Agrahara,3 BHK,1550.0,2.0,80.0,Apartment,,Bengaluru,
Bellandur,4 Bedroom,1200.0,5.0,325.0,Apartment,,Bengaluru,
Ejipura,7 Bedroom,1800.0,7.0,250.0,Apartment,,Bengaluru,
Marathahalli,2 BHK,1200.0,2.0,60.0,Apartment,,Bengaluru,
Yelahanka,2 BHK,1327.0,2.0,98.0,Apartment,,Bengaluru,
Kothanur,2 BHK,1186.0,2.0,58.0,Apartment,,Bengaluru,
MS Pallya,3 Bedroom,1783.0,3.0,115.0,Apartment,,Bengaluru,
HSR Layout,3 BHK,1400.0,3.0,56.0,Apartment,,Bengaluru,
Nagasandra,2 BHK,980.0,2.0,48.0,Apartment,,Bengaluru,
EPIP Zone,2 BHK,1285.0,2.0,82.0,Apartment,,Bengaluru,
Langford Town,3 BHK,912.0,2.0,70.0,Apartment,,Bengaluru,
Whitefield,2 BHK,1225.0,2.0,47.6,Apartment,,Bengaluru,
Whitefield,2 BHK,1075.0,2.0,53.0,Apartment,,Bengaluru,
Kadugodi,3 BHK,1260.0,2.0,54.0,Apartment,,Bengaluru,
Yelahanka,3 BHK,1282.0,2.0,48.7,Apartment,,Bengaluru,
Kogilu,3 BHK,1909.0,3.0,88.0,Apartment,,Bengaluru,
Panathur,2 BHK,1359.0,2.0,87.0,Apartment,,Bengaluru,
Nagondanahalli,2 BHK,1207.0,2.0,43.5,Apartment,,Bengaluru,
Padmanabhanagar,4 Bedroom,1736.0,6.0,190.0,Apartment,,Bengaluru,
1st Block Jayanagar,4 BHK,2850.0,4.0,428.0,Apartment,,Bengaluru,
Kammasandra,3 BHK,1595.0,3.0,65.0,Apartment,,Bengaluru,
"Off Sarjapur Road, ",3 BHK,1798.0,3.0,89.0,Apartment,,Bengaluru,
Electronics City Phase 1,3 BHK,1475.0,3.0,78.29,Apartment,,Bengaluru,
Tala Cauvery Layout,3 BHK,1580.0,3.0,100.0,Apartment,,Bengaluru,
Dasarahalli,2 BHK,1295.0,2.0,65.0,Apartment,,Bengaluru,
Magadi Road,6 Bedroom,3600.0,6.0,141.0,Apartment,,Bengaluru,
Electronic City,1 BHK,589.0,1.0,27.0,Apartment,,Bengaluru,
Ngef Layout,3 BHK,1415.0,3.0,78.0,Apartment,,Bengaluru,
Sarjapur  Road,3 BHK,1787.0,3.0,98.29,Apartment,,Bengaluru,
Sarjapur  Road,3 BHK,1787.0,3.0,125.0,Apartment,,Bengaluru,
Koramangala,3 BHK,1475.0,2.0,90.0,Apartment,,Bengaluru,
"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000.0,4.0,75.5,Apartment,,Bengaluru,
Sarjapur  Road,2 BHK,984.0,2.0,44.28,Apartment,,Bengaluru,
Devanahalli,3 BHK,15201740.0,,74.82,Apartment,,Bengaluru,
Muthurayya Swamy Layout,3 BHK,2405.0,4.0,260.0,Apartment,,Bengaluru,
7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,Apartment,,Bengaluru,
Shantiniketan Layout,2 Bedroom,1500.0,2.0,115.0,Apartment,,Bengaluru,
Hebbal,3 BHK,1900.0,3.0,119.0,Apartment,,Bengaluru,
Dommasandra,2 BHK,805.0,2.0,22.14,Apartment,,Bengaluru,
Budigere,2 BHK,1153.0,2.0,56.4,Apartment,,Bengaluru,
Dodda Nekkundi Extension,2 BHK,1148.0,2.0,60.0,Apartment,,Bengaluru,
Mylasandra,2 BHK,1110.0,2.0,55.0,Apartment,,Bengaluru,
Electronic City,2 BHK,1100.0,2.0,42.0,Apartment,,Bengaluru,
Kalyan nagar,2 BHK,1290.0,2.0,110.0,Apartment,,Bengaluru,
Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,65.0,Apartment,,Bengaluru,
Bank Of Baroda Colony,2 BHK,1080.0,2.0,39.0,Apartment,,Bengaluru,
Vijayanagar,3 BHK,1933.0,3.0,129.0,Apartment,,Bengaluru,
Ramamurthy Nagar,5 Bedroom,3500.0,5.0,150.0,Apartment,,Bengaluru,
Kullappa Colony,2 BHK,1060.0,2.0,60.0,Apartment,,Bengaluru,
Chandapura,1 BHK,645.0,1.0,16.45,Apartment,,Bengaluru,
Mukkutam Nagar,8 Bedroom,2600.0,8.0,180.0,Apartment,,Bengaluru,
Chandapura,1 BHK,645.0,1.0,16.45,Apartment,,Bengaluru,
Ashwath Nagar,3 BHK,1644.0,3.0,84.0,Apartment,,Bengaluru,
Ncpr Industrial Layout,2 BHK,1285.0,2.0,72.5,Apartment,,Bengaluru,
Electronic City,3 Bedroom,1200.0,3.0,90.0,Apartment,,Bengaluru,
Electronic City,2 BHK,910.0,2.0,40.0,Apartment,,Bengaluru,
Kothanur,3 BHK,1577.0,3.0,70.0,Apartment,,Bengaluru,
Meenakunte,3 Bedroom,4050.0,3.0,280.0,Apartment,,Bengaluru,
OMBR Layout,3 BHK,2420.0,3.0,185.0,Apartment,,Bengaluru,
Chandapura,2 BHK,800.0,1.0,20.0,Apartment,,Bengaluru,
Anand Nagar,2 BHK,1060.0,2.0,55.0,Apartment,,Bengaluru,
7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,Apartment,,Bengaluru,
Shree Ananth Nagar Layout,2 BHK,900.0,2.0,22.5,Apartment,,Bengaluru,
Kundalahalli Colony,2 Bedroom,1280.0,2.0,69.0,Apartment,,Bengaluru,
Horamavu Agara,4 Bedroom,1200.0,2.0,95.0,Apartment,,Bengaluru,
Sarjapur  Road,2 BHK,1025.0,2.0,36.0,Apartment,,Bengaluru,
Electronic City,2 BHK,1108.0,2.0,63.0,Apartment,,Bengaluru,
MCECHS  layout,5 Bedroom,1200.0,5.0,170.0,Apartment,,Bengaluru,
Coffee Board Layout,3 BHK,3045.0,3.0,170.0,Apartment,,Bengaluru,
Ambedkar Nagar,4 Bedroom,2900.0,3.0,300.0,Apartment,,Bengaluru,
Vijayanagar,3 BHK,1500.0,3.0,75.5,Apartment,,Bengaluru,
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,43.9,Apartment,,Bengaluru,
Budigere,2 BHK,1162.0,2.0,59.9,Apartment,,Bengaluru,
Sarjapur  Road,2 BHK,1035.0,2.0,49.2,Apartment,,Bengaluru,
Attibele,4 Bedroom,1600.0,4.0,52.8,Apartment,,Bengaluru,
KUDLU MAIN ROAD,3 BHK,1464.0,3.0,46.0,Apartment,,Bengaluru,
Hennur Road,3 BHK,1866.0,2.0,61.58,Apartment,,Bengaluru,
Geleyara Balaga Layout,2 BHK,700.0,1.0,26.0,Apartment,,Bengaluru,
Kalena Agrahara,3 BHK,1804.0,3.0,120.0,Apartment,,Bengaluru,
Sarjapur,2 BHK,913.0,2.0,32.0,Apartment,,Bengaluru,
Talaghattapura,3 BHK,1868.0,3.0,131.0,Apartment,,Bengaluru,
Kengeri Satellite Town,2 BHK,883.0,2.0,45.0,Apartment,,Bengaluru,
Sundara Nagar,2 Bedroom,900.0,2.0,110.0,Apartment,,Bengaluru,
Kogilu,3 BHK,1664.0,2.0,73.95,Apartment,,Bengaluru,
Hegde Nagar,3 BHK,2026.0,3.0,132.0,Apartment,,Bengaluru,
Balagere,2 BHK,1210.0,2.0,80.9,Apartment,,Bengaluru,
Meenakunte,4 Bedroom,4111.0,4.0,250.0,Apartment,,Bengaluru,
Kadugodi,3 BHK,1762.0,3.0,91.45,Apartment,,Bengaluru,
Jigani,3 BHK,1252.0,3.0,55.0,Apartment,,Bengaluru,
Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,Apartment,,Bengaluru,
7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,Apartment,,Bengaluru,
Srirampura,6 Bedroom,1450.0,6.0,250.0,Apartment,,Bengaluru,
Electronics City Phase 1,3 BHK,1490.0,3.0,78.8,Apartment,,Bengaluru,
Bisuvanahalli,3 BHK,1075.0,2.0,46.0,Apartment,,Bengaluru,
Old Madras Road,3 BHK,1425.0,2.0,94.0,Apartment,,Bengaluru,
Kalena Agrahara,2 BHK,1200.0,2.0,40.0,Apartment,,Bengaluru,
Kaggadasapura,3 BHK,1280.0,2.0,56.0,Apartment,,Bengaluru,
Silver Springs Layout,2 BHK,1084.0,2.0,50.0,Apartment,,Bengaluru,
Chandapura,2 BHK,1015.0,2.0,25.88,Apartment,,Bengaluru,
Kanakpura Road,2 BHK,1017.0,2.0,51.25,Apartment,,Bengaluru,
Haralur Road,2 BHK,1027.0,2.0,44.0,Apartment,,Bengaluru,
Electronic City Phase II,2 BHK,1069.0,2.0,45.0,Apartment,,Bengaluru,
Hebbal,2 BHK,1349.0,2.0,98.2,Apartment,,Bengaluru,
9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,Apartment,,Bengaluru,
Jakkur,2 BHK,1417.0,2.0,75.0,Apartment,,Bengaluru,
TC Palaya,3 Bedroom,1475.0,3.0,98.0,Apartment,,Bengaluru,
Maruthi Sevanagar,2 BHK,950.0,2.0,47.0,Apartment,,Bengaluru,
RMV 2nd Stage,4 BHK,2000.0,4.0,120.0,Apartment,,Bengaluru,
Giri Nagar,3 Bedroom,880.0,3.0,140.0,Apartment,,Bengaluru,
Sarjapur  Road,4 BHK,1863.0,3.0,104.0,Apartment,,Bengaluru,
Singasandra,2 BHK,1010.0,2.0,29.5,Apartment,,Bengaluru,
Kalena Agrahara,3 BHK,1425.0,2.0,70.0,Apartment,,Bengaluru,
Vijayanagar,3 BHK,1450.0,3.0,100.0,Apartment,,Bengaluru,
Kothanur,3 BHK,1847.0,3.0,105.0,Apartment,,Bengaluru,
AECS Layout,2 BHK,1100.0,2.0,45.0,Apartment,,Bengaluru,
Kanakpura Road,1 BHK,525.0,1.0,26.0,Apartment,,Bengaluru,
Mallasandra,3 BHK,1665.0,3.0,95.0,Apartment,,Bengaluru,
Begur,4 BHK,1664.0,4.0,65.0,Apartment,,Bengaluru,
JP Nagar,3 BHK,1850.0,3.0,150.0,Apartment,,Bengaluru,
Panathur,2 BHK,1438.0,2.0,100.0,Apartment,,Bengaluru,
Sunder Ram Shetty Nagar,3 BHK,1560.0,3.0,115.0,Apartment,,Bengaluru,
Yelahanka,2 BHK,1350.0,2.0,55.55,Apartment,,Bengaluru,
Kanakpura Road,3 BHK,1550.0,3.0,67.0,Apartment,,Bengaluru,
Malleshpalya,2 BHK,1140.0,2.0,46.5,Apartment,,Bengaluru,
Srirampura,5 Bedroom,1200.0,5.0,180.0,Apartment,,Bengaluru,
Kodathi,2 BHK,850.0,2.0,27.0,Apartment,,Bengaluru,
Whitefield,2 BHK,1280.0,2.0,75.0,Apartment,,Bengaluru,
Munnekollal,2 BHK,1170.0,2.0,52.0,Apartment,,Bengaluru,
Motappa Layout,2 BHK,1113.0,2.0,51.0,Apartment,,Bengaluru,
Hennur Road,2 BHK,1385.0,2.0,83.09,Apartment,,Bengaluru,
Electronic City,2 BHK,1128.0,2.0,65.0,Apartment,,Bengaluru,
Marathahalli,2 Bedroom,1200.0,2.0,128.0,Apartment,,Bengaluru,
Akshaya Vana,4 Bedroom,1200.0,4.0,165.0,Apartment,,Bengaluru,
Rajaji Nagar,3 BHK,2390.0,3.0,415.0,Apartment,,Bengaluru,
Giri Nagar,4 Bedroom,2400.0,4.0,400.0,Apartment,,Bengaluru,
Haralur Road,3 BHK,1464.0,3.0,56.0,Apartment,,Bengaluru,
Manayata Tech Park,2 BHK,1200.0,2.0,55.0,Apartment,,Bengaluru,
Kaval Byrasandra,2 BHK,1200.0,2.0,52.0,Apartment,,Bengaluru,
Kaggalipura,3 BHK,1150.0,2.0,55.0,Apartment,,Bengaluru,
Basavanna Nagar,3 BHK,1645.0,3.0,95.0,Apartment,,Bengaluru,
Sarjapur  Road,2 BHK,1000.0,2.0,67.0,Apartment,,Bengaluru,
Haralur Road,4 Bedroom,2650.0,4.0,198.0,Apartment,,Bengaluru,
